epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,32.647,1.16457,0.71134,1.13099,0.92473,0.89907,0.93644,0.63486,1.18903,0.77105,1.45017,0.000352037,0.000352037,0.000352037
62,33.1046,1.15476,0.6869,1.10583,0.93857,0.87805,0.93373,0.63791,1.20205,0.78936,1.45025,0.000337325,0.000337325,0.000337325
63,33.563,1.16598,0.74294,1.15586,0.92451,0.89624,0.93394,0.63388,1.21263,0.79018,1.44553,0.000322778,0.000322778,0.000322778
64,34.0349,1.16854,0.73417,1.15085,0.94009,0.87805,0.93475,0.63099,1.21277,0.78636,1.44141,0.000308412,0.000308412,0.000308412
65,34.492,1.14549,0.68786,1.15736,0.94511,0.87805,0.9429,0.6328,1.22078,0.78747,1.44091,0.000294239,0.000294239,0.000294239
66,34.945,1.14727,0.69016,1.15213,0.94838,0.89627,0.94445,0.62839,1.21415,0.77257,1.43797,0.000280275,0.000280275,0.000280275
67,35.3974,1.12992,0.70782,1.12101,0.9676,0.87805,0.94952,0.6399,1.21235,0.76903,1.44699,0.000266532,0.000266532,0.000266532
68,35.8499,1.127,0.67591,1.11731,0.97359,0.89933,0.95327,0.65077,1.23179,0.77507,1.46389,0.000253024,0.000253024,0.000253024
69,36.3256,1.15707,0.72905,1.13593,0.97288,0.90244,0.95606,0.6402,1.24987,0.77824,1.47918,0.000239766,0.000239766,0.000239766
70,36.7784,1.12385,0.68597,1.12924,0.97148,0.90244,0.95715,0.64021,1.27804,0.79247,1.49922,0.000226769,0.000226769,0.000226769
71,37.2326,1.09228,0.71975,1.13802,0.97012,0.90244,0.95683,0.61772,1.29308,0.80181,1.5147,0.000214046,0.000214046,0.000214046
72,37.6837,1.09267,0.65271,1.10342,0.97032,0.90244,0.95808,0.61332,1.29527,0.78497,1.51206,0.000201611,0.000201611,0.000201611
73,38.1373,1.1029,0.65953,1.09709,0.96939,0.90244,0.95788,0.62594,1.29045,0.78806,1.50027,0.000189475,0.000189475,0.000189475
74,38.5988,1.09591,0.66807,1.09185,0.96947,0.90244,0.95905,0.62285,1.28854,0.79464,1.49216,0.000177651,0.000177651,0.000177651
75,39.0574,1.08546,0.64948,1.10105,0.9687,0.90244,0.96156,0.61572,1.28298,0.78922,1.47899,0.000166149,0.000166149,0.000166149
76,39.5159,1.06466,0.6504,1.08341,0.96722,0.90244,0.96211,0.63022,1.27362,0.77665,1.46183,0.000154982,0.000154982,0.000154982
77,39.9819,1.07523,0.65592,1.09772,0.928,0.94317,0.96289,0.63144,1.26872,0.76714,1.45989,0.000144161,0.000144161,0.000144161
78,40.4403,1.12182,0.6817,1.15913,0.969,0.90244,0.9628,0.63873,1.26712,0.76241,1.46394,0.000133695,0.000133695,0.000133695
79,40.8897,1.13892,0.71025,1.16494,0.96987,0.90244,0.96483,0.6392,1.26127,0.76737,1.47113,0.000123596,0.000123596,0.000123596
80,41.3458,1.09924,0.66341,1.14231,0.96747,0.90244,0.96496,0.63796,1.25399,0.76825,1.47491,0.000113873,0.000113873,0.000113873
81,41.7963,1.0909,0.67166,1.13342,0.95976,0.90244,0.96352,0.6403,1.25154,0.76814,1.48243,0.000104537,0.000104537,0.000104537
82,42.2531,1.06615,0.62852,1.09528,0.94054,0.90244,0.95952,0.64324,1.24901,0.7746,1.48988,9.55951e-05,9.55951e-05,9.55951e-05
83,42.7029,1.0754,0.64638,1.1075,0.94546,0.90244,0.95756,0.64061,1.24049,0.76461,1.48394,8.70577e-05,8.70577e-05,8.70577e-05
84,43.1552,1.05078,0.63592,1.08313,0.94694,0.90244,0.95651,0.64361,1.24298,0.77534,1.48349,7.89327e-05,7.89327e-05,7.89327e-05
85,43.6083,1.07533,0.68046,1.09873,0.94628,0.90244,0.95594,0.64018,1.23455,0.76684,1.47423,7.12282e-05,7.12282e-05,7.12282e-05
86,44.0627,1.0495,0.6429,1.11468,0.94553,0.90244,0.95708,0.6394,1.22748,0.75646,1.46757,6.39518e-05,6.39518e-05,6.39518e-05
87,44.5155,1.02133,0.63047,1.09954,0.94499,0.90244,0.95684,0.64179,1.21807,0.75662,1.45607,5.71106e-05,5.71106e-05,5.71106e-05
88,44.9672,1.06034,0.65385,1.09495,0.94412,0.90244,0.95646,0.6488,1.20842,0.74682,1.44998,5.07115e-05,5.07115e-05,5.07115e-05
89,45.4233,1.04577,0.6448,1.08017,0.94329,0.90244,0.9562,0.65202,1.19866,0.74508,1.43978,4.47606e-05,4.47606e-05,4.47606e-05
90,45.8939,1.05515,0.64487,1.12297,0.97348,0.89548,0.95647,0.65103,1.19151,0.73305,1.43392,3.9264e-05,3.9264e-05,3.9264e-05
91,47.062,0.97489,0.64068,1.08479,0.97359,0.89924,0.95568,0.65102,1.18204,0.73455,1.42722,3.4227e-05,3.4227e-05,3.4227e-05
92,47.5256,1.01065,0.67025,1.12042,0.97056,0.90244,0.95568,0.64992,1.17857,0.73069,1.42512,2.96546e-05,2.96546e-05,2.96546e-05
93,47.9831,0.96631,0.62877,1.08017,0.96698,0.90244,0.95637,0.64892,1.17931,0.73273,1.42881,2.55513e-05,2.55513e-05,2.55513e-05
94,48.4423,1.01288,0.6601,1.13138,0.96217,0.90244,0.95624,0.65154,1.18215,0.73373,1.4288,2.19212e-05,2.19212e-05,2.19212e-05
95,48.8977,0.98484,0.68622,1.11741,0.95767,0.90244,0.95598,0.64894,1.18121,0.74298,1.42958,1.87678e-05,1.87678e-05,1.87678e-05
96,49.357,0.97314,0.64429,1.09579,0.9573,0.90244,0.95511,0.64986,1.17941,0.74507,1.42878,1.60943e-05,1.60943e-05,1.60943e-05
97,49.8185,0.97307,0.62763,1.08084,0.96351,0.90244,0.9536,0.64928,1.17729,0.74422,1.43367,1.39032e-05,1.39032e-05,1.39032e-05
98,50.2668,0.98907,0.63858,1.08862,0.96254,0.90244,0.9528,0.64932,1.17684,0.73945,1.43357,1.21968e-05,1.21968e-05,1.21968e-05
99,50.7136,0.97574,0.65599,1.08382,0.94844,0.90244,0.9517,0.65123,1.17643,0.74324,1.4378,1.09768e-05,1.09768e-05,1.09768e-05
100,51.1592,0.95919,0.64187,1.09314,0.94534,0.90244,0.95133,0.65124,1.17773,0.74691,1.43921,1.02443e-05,1.02443e-05,1.02443e-05
