epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,60.7139,1.62694,1.15371,1.36715,0.70319,0.69355,0.74248,0.31464,2.10289,1.42627,1.90584,0.00076625,0.00076625,0.00076625
87,61.358,1.53365,1.07814,1.36589,0.77008,0.68293,0.7834,0.34737,2.03597,1.33724,1.8488,0.0007635,0.0007635,0.0007635
88,61.9959,1.49996,1.04795,1.3763,0.81859,0.65854,0.78913,0.36456,1.99097,1.28158,1.78558,0.00076075,0.00076075,0.00076075
89,62.6387,1.57755,1.04933,1.37222,0.7487,0.80488,0.82087,0.40283,1.92971,1.20971,1.7079,0.000758,0.000758,0.000758
90,63.2998,1.60943,1.0802,1.30022,0.79824,0.77213,0.83373,0.41074,1.94238,1.20675,1.68871,0.00075525,0.00075525,0.00075525
91,63.9622,1.50398,1.099,1.34944,0.83536,0.68293,0.82293,0.41658,1.89373,1.1996,1.64755,0.0007525,0.0007525,0.0007525
92,64.6185,1.54241,1.00182,1.28741,0.80397,0.70034,0.80815,0.40065,1.91661,1.2229,1.66236,0.00074975,0.00074975,0.00074975
93,65.2532,1.533,1.2068,1.40106,0.88067,0.65854,0.76732,0.35014,2.01267,1.26371,1.70827,0.000747,0.000747,0.000747
94,65.8885,1.59235,1.24412,1.39302,0.88464,0.65854,0.76793,0.32902,2.08338,1.29385,1.76865,0.00074425,0.00074425,0.00074425
95,66.6757,1.54497,1.06639,1.32175,0.89171,0.65854,0.78163,0.3024,2.14837,1.32833,1.84667,0.0007415,0.0007415,0.0007415
96,67.3057,1.53993,1.35875,1.36507,0.85825,0.73171,0.79944,0.31178,2.15201,1.31055,1.87652,0.00073875,0.00073875,0.00073875
97,67.9438,1.53393,1.04723,1.32405,0.90792,0.72165,0.80403,0.31782,2.09223,1.29114,1.8554,0.000736,0.000736,0.000736
98,68.5816,1.49814,0.99373,1.27502,0.90777,0.72034,0.81047,0.31901,2.0923,1.30668,1.86082,0.00073325,0.00073325,0.00073325
99,69.212,1.67937,1.11441,1.32196,0.87808,0.70274,0.77765,0.30137,2.16556,1.34522,1.9318,0.0007305,0.0007305,0.0007305
